day_of_week,weekend_indicator,holiday_indicator,month,quarter,cost_lag_1,cost_lag_7,cost_lag_30,cost_rolling_7,cost_rolling_14,cost_rolling_30,staff_count,overtime_hours,production_volume,marketing_spend,daily_sales,inventory_level,shipping_cost,weather_temperature,weather_precipitation,exchange_rate,commodity_price_index
5,1,0,1,4,357.72448897,247.28007925,211.16791722,274.88303342,255.05621905,273.24825968,70,4.57527975,690,2502.49799935,1816.11463932,311.2885497,126.99640714,20.03517301,4.21448842,76.61204537,108.5916264
5,0,1,11,2,423.69780404,440.98730612,418.18437057,275.54810737,316.52085994,179.61845628,73,1.84408347,417,1383.44046758,3127.96804932,136.15250763,112.94686915,18.64306937,6.96875068,75.91037807,106.64841604
6,0,1,6,3,203.13929556,460.54613048,358.1518168,287.46014632,251.33659746,352.89263718,77,1.33430028,327,1395.37798258,2688.59819497,404.56489492,90.94400929,26.8104278,5.11373076,77.64108281,128.11899559
6,1,0,10,4,166.4101113,248.05449655,394.81262544,189.29662495,329.53618805,238.29556439,22,2.49120717,284,1668.81924387,1544.21409401,395.57960443,107.82465046,22.92814783,3.11316836,77.18663404,119.38489235
7,0,0,11,1,190.08667039,473.36287884,300.62484495,212.49175562,350.93172935,261.31601259,39,4.13093381,449,843.60128728,2704.28721635,307.92240186,143.41615225,33.22175644,3.38782962,77.99896128,110.20583495
2,1,1,11,1,321.140 03455,346.3108251,350.4646855,249.16371126,321.15848421,229.1464328,79,3.77438207,439,1372.38039883,1647.40123816,172.66148007,91.04492901,33.2366252,11.40616464,71.01640624,142.62257447
2,0,0,4,1,361.47100153,440.23438471,405.45757928,330.22622048,357.13955535,240.62386416,29,0.77872611,334,1730.51447747,3378.73872745,188.5428483,87.82036587,24.83013794,14.82465039,72.20763337,126.90047997
6,1,0,11,4,190.90483214,213.97974959,430.14180011,324.66516568,307.81001718,231.19006203,23,4.11214914,574,1708.492467,3179.71506844,307.30335956,239.76581559,30.70432922,10.03788748,72.50441498,133.70841939
3,1,1,11,2,359.27984209,268.89041531,175.95571459,262.00901666,253.04308388,347.57547324,49,6.91793439,916,2499.99306297,3305.45212169,290.81757768,247.61946099,26.93738468,11.20915023,72.42792558,125.1263843
7,0,0,2,4,361.76661641,460.01774405,332.25729862,190.31763428,244.65267785,339.57219605,67,2.67440266,214,2045.89658874,1433.63834927,405.80025423,254.86445808,33.44940235,9.88776981,78.16248021,112.31519819
